"Do.you.celebrate.Christmas.","What.do.you.typically.do.on.Christmas..Select.all.that.apply.","When.you..celebrate.Christmas...is.the.celebration.larger.on.the.24th.or.25th.of.December.","Do.you.attend.religious.service.on.Christmas.","When.you.were.under.18..did.you.receive.gifts.from.your.parents.for.Christmas.","If.you.answered...Yes..and.they.claimed.they.were.from.Santa..to.the.previous.question..at.what.age.did.you.realize.Santa.wasn.t.real.","Which.of.the.following.desserts.candies.do.you.consume.on.Christmas.","Which.of.the.following.beverages.do.you.consume.on.Christmas.","Which.of.the.following.foods.do.you.consume.on.Christmas.","Describe.Christmas.in.three.words","What.do.you.typically.do.on.Christmas..Select.all.that.apply..1","When.you.were.under.18..did.you.receive.gifts.from.your.parents.for.Christmas..1","If.you.answered...Yes..and.they.claimed.they.were.from.Santa..to.the.previous.question..at.what.age.did.you.realize.Santa.wasn.t.real..1","Describe.Christmas.in.three.words.1","What.is.your.gender.","What.is.your.age.group.","How.would.you.describe.your.religion.","Do.you.attend.religious.services.regularly.","How.would.you.describe.your.religion.before.you.were.18.","How.frequently.did.you.attend.religious.services.before.you.were.18.","Which.region.of.the.US.do.you.live.in."
"Yes","Attend religious service;Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Always/almost always","Yes, and they claimed they were from Santa",9,"Cookies;Pie (any)","Apple cider;Eggnog","Bread rolls;Chicken;Ham;Macaroni and cheese;Mashed potatoes","Savior is born","","",NA,"","Male","25-34","Christianity, Evangelical","3+ times a month","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Spend time with family;Spend time with friends;Exchange gifts with family and/or friends","24th","Not anymore","Yes, and they claimed they were from Santa",8,"Candy Canes;Christmas cake/fruit cake;Cookies;Gingerbread;Pie (any);Pie (pumpkin);Pie (pecan)","Eggnog;Wine","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing;Turkey","Crazy busy love","","",NA,"","Female","35-44","Christianity, other","Rarely","Christianity, other","3+ times a month","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Sometimes","Yes, and they claimed they were from Santa",10,"Cookies;Pie (any)","","Bread rolls;Macaroni and cheese;Mashed potatoes;Stuffing/Dressing;Turkey","Love and happiness","","",NA,"","Female","55+","Christianity, non-Evangelical Protestant","Rarely","Christianity, non-Evangelical Protestant","3+ times a month","Southeast"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Not anymore","Yes, and they claimed they were from Santa",12,"Candy Canes;Cookies;Pie (apple);Pie (pumpkin)","Apple cider","Bread rolls;Turkey","Faith family food","","",NA,"","Male","45-54","Christianity, Evangelical","1-2 times a month","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Order food from a restaurant;Exchange gifts with family and/or friends","24th","Always/almost always","Yes, and they claimed they were from Santa",9,"Candy Canes;Cookies;Gingerbread","Apple cider","Chicken","Family church vacation","","",NA,"","Female","55+","Christianity, non-Evangelical Protestant","3+ times a month","Christianity, non-Evangelical Protestant","3+ times a month","West"
"No","","","","",NA,"","","","","Exchange gifts with family and/or friends","Yes, and they claimed they were from Santa",9,"I celebrate Yule","Female","45-54","Other","Never","Other","Never","Southwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Not anymore","Yes, and they claimed they were from Santa",3,"","Champagne;Wine","Fish","Love family home","","",NA,"","Male","Under 18","Atheist/agnostic","Never","I am still under 18","I am still under 18","I do not live in the United States"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Sometimes","Yes, and they claimed they were from Santa",12,"Candy Canes;Cookies;Pie (any)","Apple cider;Champagne;Eggnog;Wine","Bread rolls;Chicken;Mashed potatoes;Stuffing/Dressing","Santa Claus Run","","",NA,"","Male","25-34","Atheist/agnostic","Never","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Sometimes","Yes, and they claimed they were from Santa",7,"Candy Canes;Christmas cake/fruit cake;Cookies","Eggnog","Bread rolls;Ham;Mashed potatoes;Prime Rib","Holy fucking shit","","",NA,"","Female","25-34","Christianity, other","3+ times a month","Christianity, Catholic","3+ times a month","Midwest"
"Yes","Spend time with family;See a movie in a theater;Eat a large meal prepared by family or friends","25th","Never","Yes, and they claimed they were from Santa",7,"Candy Canes;Gingerbread;Pie (pumpkin);Pie (sweet potato)","Apple cider","Bread rolls;Chicken;Fish;Ham;Macaroni and cheese;Mashed potatoes","Family food presents","","",NA,"","Female","18-24","Atheist/agnostic","Never","Atheist/agnostic","3+ times a month","Midwest"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Not anymore","Yes, but they didn't say they were from Santa",NA,"Cookies;Gingerbread;Pie (apple)","Apple cider;Champagne;Wine","Bread rolls;Chicken;Fish;Macaroni and cheese;Mashed potatoes","Food Presents Sex","","",NA,"","Female","Under 18","Atheist/agnostic","Rarely","I am still under 18","I am still under 18","Midwest"
"Yes","Attend religious service;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Always/almost always","Yes, but they didn't say they were from Santa",10,"Cookies;Pie (any)","Apple cider;Eggnog","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing","Birth of Jesus","","",NA,"","Female","45-54","Christianity, Catholic","1-2 times a month","Christianity, Catholic","1-2 times a month","Northeast"
"No","","","","",NA,"","","","","Spend time with family","Yes, but they didn't say they were from Santa",NA,"Bullshit capitalist propaganda","Male","35-44","Atheist/agnostic","Never","Christianity, non-Evangelical Protestant","1-2 times a month","Southeast"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends;Wear an ugly sweater","25th","Never","Yes, and they claimed they were from Santa",7,"Candy Canes;Cookies;Pie (any)","Apple cider;Eggnog;Wine","Bread rolls;Ham;Mashed potatoes","festive fun busy","","",NA,"","Female","25-34","Atheist/agnostic","Never","Christianity, other","1-2 times a month","Midwest"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",7,"Christmas cake/fruit cake","Champagne;Wine","Ham;Mashed potatoes;Stuffing/Dressing;Turkey","food drink television","","",NA,"","Male","45-54","Atheist/agnostic","Never","Atheist/agnostic","Never","I do not live in the United States"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Both are about the same","Never","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Cookies;Pie (pumpkin)","Apple cider","Bread rolls;Mashed potatoes;Stuffing/Dressing;Turkey","Peace Hope Companionship","","",NA,"","Female","18-24","Christianity, other","Never","Christianity, other","3+ times a month","West"
"No","","","","",NA,"","","","","Eat a large meal prepared by family or friends","Yes, and they claimed they were from Santa",10,"Completely overcommercialized garbage","Male","35-44","Atheist/agnostic","Never","Atheist/agnostic","Never","West"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Not anymore","Yes, but they didn't say they were from Santa",NA,"Cookies;Pie (any)","Wine","Bread rolls;Ham;Mashed potatoes;Stuffing/Dressing;Turkey","People are nicer","","",NA,"","Female","55+","Christianity, Catholic","Rarely","Christianity, Catholic","3+ times a month","Southwest"
"Yes","Attend religious service;Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","24th","Always/almost always","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Cookies;Pie (any)","Eggnog","Bread rolls","Family presents Jesus","","",NA,"","Male","25-34","Christianity, Evangelical","1-2 times a month","Christianity, other","1-2 times a month","Midwest"
"Yes","Spend time with family;Spend time with friends;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Not anymore","Yes, and they claimed they were from Santa",7,"Candy Canes;Cookies;Pie (any);Pie (apple)","","Bread rolls;Macaroni and cheese;Mashed potatoes","Joyful family together","","",NA,"","Female","25-34","Atheist/agnostic","Never","Christianity, Evangelical","3+ times a month","Midwest"
"Yes","Attend religious service;Spend time with family;Spend time with friends;Exchange gifts with family and/or friends","25th","Sometimes","Yes, but they didn't say they were from Santa",NA,"Candy Canes;Cookies;Gingerbread;Pie (pumpkin)","Apple cider;Eggnog","Bread rolls","commercialized family goodness","","",NA,"","Male","18-24","Christianity, other","1-2 times a month","Atheist/agnostic","Rarely","Northeast"
"No","","","","",NA,"","","","","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","Yes, and they claimed they were from Santa",3,"spruce tangerines gingerbread","Male","35-44","Atheist/agnostic","Never","Atheist/agnostic","Never","I do not live in the United States"
"Yes","Spend time with family;Eat a large meal prepared by family or friends;Exchange gifts with family and/or friends","25th","Never","Yes, and they claimed they were from Santa",11,"Candy Canes;Cookies;Gingerbread","","Bread rolls;Chicken;Ham;Mashed potatoes;Stuffing/Dressing","Fun Family Jesus","","",NA,"","Male","Under 18","Christianity, Evangelical","3+ times a month","I am still under 18","I am still under 18","I do not live in the United States"
